DATE,ITEM NO.,KT,GROSS WT,NET WT.
18/06/2024,2406105ER,18,6.25,4.228
18/06/2024,2404035ER,18,16.1,14.152
18/06/2024,2404017ER,14,36.97,33.872
18/06/2024,2406110RN,18,2.33,1.966
26/06/2024,2405038ER,18,6.57,5.732
04/07/2024,2404016NK,18,35.88,28.940
16/07/2024,2401043ER,18,25.84,19.274
10/07/2024,2405016BC,14,7.54,6.734
09/07/2024,2405017BC,14,4.96,4.622
09/07/2024,2406048PN,14,1.07,0.910
09/07/2024,2406049ER,14,3.05,2.812
10/07/2024,2406068NK,14,6.64,6.130
10/07/2024,2406069ER,14,5.19,4.874
10/07/2024,2406072PN,14,10,7.378
10/07/2024,2406073ER,14,8.32,5.782
10/07/2024,2406076PN,14,1.99,1.776
10/07/2024,2406077ER,14,2.62,2.432
10/07/2024,2406078PN,14,3.01,2.704
10/07/2024,2406079ER,14,2.86,2.72
10/07/2024,2406084PN,14,1.55,1.356
10/07/2024,2406085ER,14,2.51,2.358
04/07/2024,2404016NK,18,35.88,28.940
18/06/2024,2404017ER,14,36.97,33.872
18/06/2024,2404035ER,18,16.1,14.152
19/07/2024,2404038BC,18,42.94,42.520
18/07/2024,2405019ER,14,4.82,4.182
18/06/2024,2405025ER,18,4.95,3.990
17/07/2024,2405027NK,14,5.69,5.192
17/07/2024,2405031NK,14,11.16,9.790
26/06/2024,2405038ER,18,6.57,5.732
17/07/2024,2406004ER,14,6.43,5.788
17/07/2024,2406006ER,14,5.93,5.482
18/07/2024,2406016PN,14,3.01,2.726
18/07/2024,2406017ER,14,4.01,3.644
18/07/2024,2406020PN,14,2.5,2.236
18/07/2024,2406021ER,14,3.33,3.206
18/07/2024,2406022PN,14,6.09,5.666
18/07/2024,2406023ER,14,4.3,3.974
18/07/2024,2406034PN,14,5.75,5.524
18/07/2024,2406035ER,14,3.27,3.108
17/07/2024,2406042PN,14,1.09,0.882
17/07/2024,2406043ER,14,2.55,2.292
17/07/2024,2406046PN,14,5.12,4.862
17/07/2024,2406047ER,14,3.47,3.266
17/07/2024,2406054PN,14,4.92,4.686
17/07/2024,2406055ER,14,2.68,2.500
22/07/2024,2406058PN,14,5.04,4.852
22/07/2024,2406059ER,14,3.92,3.768
18/07/2024,2406062PN,14,5.68,5.078
18/07/2024,2406063ER,14,3.62,3.248
18/07/2024,2406064PN,14,4.66,4.448
18/07/2024,2406065ER,14,2.95,2.688
17/07/2024,2406066PN,14,5.04,4.828
17/07/2024,2406067ER,14,3.58,3.280
18/07/2024,2406070PN,14,7.08,6.720
18/07/2024,2406071ER,14,4.98,4.600
18/07/2024,2406080PN,14,3.13,2.868
18/07/2024,2406081ER,14,4.01,3.852
10/07/2024,2406084PN,14,4.49,4.296
17/07/2024,2406086PN,14,5.34,5.196
17/07/2024,2406087ER,14,2.7,2.568
17/07/2024,2406092PN,14,5.16,4.914
17/07/2024,2406093ER,14,3.63,3.438
18/06/2024,2406105ER,18,6.25,4.228
18/06/2024,2406110RN,18,2.33,1.966
25/07/2024,2405009RN,18,21.71,20.020
23/07/2024,2405035NK,14,7.18,6.902
27/07/2024,2405036NK,14,8.27,7.016
08/08/2024,2405042ER,18,29.87,21.716
23/07/2024,2406010ER,14,3.12,2.976
27/07/2024,2406011ER,14,6.1,4.874
23/07/2024,2406014PN,14,4.97,4.738
23/07/2024,2406015ER,14,2.77,2.654
26/07/2024,2406018PN,14,5.29,5.038
26/07/2024,2406019ER,14,3.63,3.398
26/07/2024,2406024PN,14,7.09,6.692
26/07/2024,2406025ER,14,4.52,4.206
26/07/2024,2406026PN,14,6.02,5.656
26/07/2024,2406027ER,14,5.33,4.954
26/07/2024,2406028PN,14,4.79,4.604
26/07/2024,2406029ER,14,2.74,2.594
23/07/2024,2406030PN,14,6.64,6.306
23/07/2024,2406031ER,14,3.63,3.428
23/07/2024,2406036PN,14,6.87,6.576
23/07/2024,2406037ER,14,5.01,4.760
23/07/2024,2406038PN,14,6.13,5.862
23/07/2024,2406039ER,14,4.32,4.090
23/07/2024,2406044PN,14,5.03,4.692
23/07/2024,2406045ER,14,3.96,3.498
27/07/2024,2406050PN,14,5.45,5.136
27/07/2024,2406051ER,14,3.73,3.450
23/07/2024,2406056PN,14,6.33,6.068
23/07/2024,2406057ER,14,4.3,4.048
23/07/2024,2406108RN,18,1.74,1.714
23/07/2024,2406109ER,18,0.83,0.784
07/08/2024,2406117BR,18,9.09,8.648
31/07/2024,2406119RN,18,4.34,4.140
30/07/2024,2406120ER,18,12.51,6.848
09/08/2024,2406121CF,18,8.82,6.686
29/07/2024,2406122BG,18,20.38,19.950
31/07/2024,2407026RN,18,15.72,11.572
06/08/2024,2407058ER,18,15.26,10.234
30/07/2024,2407061BC,18,11.56,11.390
06/08/2024,2407062RN,18,8.97,8.926
10/08/2024,2407065ER,14,18.13,17.082
09/08/2024,2407066RN,18,4.49,3.280
06/08/2024,2408048RN,18,5.85,4.824
19/08/2024,2403012ER,18,22.9,16.462
12/08/2024,2404033ER,18,26.36,21.544
03/08/2024,2405003NK,18,88.65,54.104
09/07/2024,2405018ER,14,6.48,6.088
09/07/2024,2405020ER,14,4.86,3.624
12/08/2024,2405021ER,14,8.13,7.678
09/07/2024,2405022ER,14,5.34,4.976
09/07/2024,2405023PN,14,5.47,5.206
12/08/2024,2405026NK,14,5.99,5.684
09/07/2024,2405029NK,14,3.56,2.850
09/07/2024,2405030NK,14,5.97,5.672
09/07/2024,2405033NK,14,7.55,7.038
09/07/2024,2405034NK,14,6.77,6.294
09/07/2024,2406002ER,14,3.23,3.012
09/07/2024,2406003ER,14,3.85,3.600
12/08/2024,2406005ER,14,3.44,3.196
09/07/2024,2406008ER,14,3.31,3.062
09/07/2024,2406009ER,14,4.43,4.104
09/07/2024,2406032PN,14,2.47,2.264
09/07/2024,2406033ER,14,3.18,3.034
09/07/2024,2406052PN,14,1.36,1.226
09/07/2024,2406053ER,14,3.7,3.514
12/08/2024,2406096PN,14,7.51,6.960
12/08/2024,2406097ER,14,3.86,3.334
12/08/2024,2406102PN,14,6.71,5.820
12/08/2024,2406103ER,14,4.21,3.626
12/08/2024,2406113ER,18,24.87,23.592
03/07/2024,2406116ER,18,12.28,11.498
13/08/2024,2406118ER,18,16.26,13.074
27/08/2024,2406118NK,18,60.5,55.672
19/08/2024,2407001RN,18,5.16,4.748
06/09/2024,2407003RN,18,2.88,2.514
30/08/2024,2407006RN,18,3.69,2.702
30/08/2024,2407007RN,18,2.54,2.252
06/09/2024,2407008RN,18,7.4,6.592
30/08/2024,2407011RN,18,2.48,2.216
06/09/2024,2407013RN,18,6.61,4.774
30/08/2024,2407019ER,18,7.43,7.050
30/08/2024,2407024BC,18,16.88,13.524
19/08/2024,2407025BC,18,21.26,17.672
03/08/2024,2407031BC,14,9.29,8.120
03/08/2024,2407057BG,18,18.1,17.778
24/08/2024,2407058ER,18,16.26,11.234
12/08/2024,2407063ER,18,1.48,1.480
12/08/2024,2407064ER,18,1.91,1.91
13/08/2024,2407067RN,18,3.08,2.598
19/08/2024,2407068ER,18,9.85,7.120
19/08/2024,2407069BR,18,11.64,5.756
12/08/2024,2407070PN,18,6.08,5.822
03/08/2024,2407072BG,18,18.91,18.588
03/08/2024,2407073ER,18,3.59,2.786
25/09/2024,2407074A/ER,14,4.42,3.480
25/09/2024,2407074PN,14,5.21,4.414
22/08/2024,2407075PN,18,4.1,3.564
22/08/2024,2407076ER,18,3.78,3.538
22/08/2024,2407077PN,14,3.17,2.898
25/09/2024,2407078A/ER,14,5.91,5.218
25/09/2024,2407078PN,14,7,6.484
25/09/2024,2407079A/ER,14,11.84,7.864
25/09/2024,2407079PN,14,15.43,9.992
22/08/2024,2407082PN,18,3.49,3.154
22/08/2024,2407083ER,18,3.44,3.296
17/08/2024,2407084ER,18,2.28,2.114
05/08/2024,2407085PN,18,5.63,4.970
19/08/2024,2408001RN,18,3.84,3.538
06/09/2024,2408003RN,18,5.78,5.464
13/09/2024,2408005RN,18,2.77,2.490
06/09/2024,2408007RN,18,4.04,3.222
06/09/2024,2408008RN,18,1.6,1.536
06/09/2024,2408011RN,18,2.2,2.042
06/09/2024,2408013RN,18,4.43,4.288
06/09/2024,2408014RN,18,4.4,2.974
06/09/2024,2408016ER,18,9.85,7.874
30/08/2024,2408017ER,18,8.53,6.942
06/09/2024,2408018ER,18,3.05,2.502
06/09/2024,2408021BC,18,12.2,9.542
06/09/2024,2408023NK,18,4.76,4.140
06/09/2024,2408025NK,18,4.72,4.198
06/09/2024,2408026NK,18,22.94,20.402
06/09/2024,2408034RN,18,4.8,4.622
06/09/2024,2408036RN,18,3.33,2.696
06/09/2024,2408037RN,18,5.26,4.600
06/09/2024,2408039ER,18,7.28,5.984
06/09/2024,2408047RN,18,3.78,3.046
16/08/2024,2408049BC,18,14.3,10.746
12/09/2024,2408053PN,18,6.41,3.394
14/09/2024,2408054ER,18,5.25,4.896
24/09/2024,2408055PN,18,7.75,7.196
24/09/2024,2408056ER,18,5.04,4.600
14/09/2024,2408057PN,18,6.42,6.168
12/09/2024,2408058ER,18,4.99,4.594
12/09/2024,2408059ER,18,3.58,3.364
14/09/2024,2408060ER,18,3.92,3.620
12/09/2024,2408061ER,18,4.21,3.962
14/09/2024,2408064ER,18,4.19,3.988
12/09/2024,2408065PN,18,3.84,3.354
12/09/2024,2408066PN,18,3.95,3.428
12/09/2024,2408067ER,18,3.59,3.364
24/09/2024,2408068ER,18,4.96,4.560
14/09/2024,2408069PN,18,3.71,3.202
14/09/2024,2408070ER,18,3.78,3.544
14/09/2024,2408071ER,18,5.05,4.684
20/09/2024,2408072PN,18,6.54,6.232
20/09/2024,2408073PN,18,8.31,7.822
20/09/2024,2408074ER,18,3.64,3.378
20/09/2024,2408075PN,18,8.29,7.778
20/09/2024,2408076ER,18,3.85,3.570
20/09/2024,2408077PN,18,7.89,7.376
20/09/2024,2408078ER,18,5.14,4.724
20/09/2024,2408080PN,18,6.43,6.174
21/08/2024,2408087RN,18,3.9,2.892
21/08/2024,2408088ER,18,5.31,4.258
24/09/2024,2408089PN,18,7.56,7.270
24/09/2024,2408090ER,18,4.05,3.890
12/09/2024,2408091PN,18,7.11,6.754
12/09/2024,2408092ER,18,6.53,6.014
